Symbol,Name,ISIN,Exchange,Series,yfinance_symbol
APOLLOTUBE,APOLLO TUBES LTD.,INE004301011,NSE,EQ,APOLLOTUBE.NS
APOLLOTYRE,APOLLOTYRE DEPO,INE438A01022,NSE,BE,APOLLOTYRE.NS
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,INE451F01024,NSE,BE,APOLSINHOT.NS
APPLECREDT,APPLE CREDIT CORP DEP.SET,INE212A01013,NSE,BE,APPLECREDT.NS
APPLEIND,APPLE FINANCE LTD.,INE096A01010,NSE,BE,APPLEIND.NS
APRAMEYA,APRAMEYA ENGINEERING LTD,INE0LQG01010,NSE,SM,APRAMEYA.NS
APS,AUSTRALIAN PREM SOLAR I L,INE0P0001010,NSE,SM,APS.NS
APTECHT,APTECH LIMITED,INE266F01018,NSE,BE,APTECHT.NS
APTUS,APTUS VALUE HSG FIN I LTD,INE852O01025,NSE,BE,APTUS.NS
ARABIAN,ARABIAN PETROLEUM LIMITED,INE08NJ01024,NSE,SM,ARABIAN.NS
ARAVALISEC,ARAVALI SECURITIES AND FI,INE445901015,NSE,EQ,ARAVALISEC.NS
ARCHIDPLY,ARCHIDPLY IND. LTD,INE877I01016,NSE,BE,ARCHIDPLY.NS
ARCHIES,ARCHIES LTD,INE731A01020,NSE,BE,ARCHIES.NS
ARCIIL,ARC INSULATION & INSU LTD,INE0YDV01010,NSE,SM,ARCIIL.NS
ARCOTECH,ARCOTECH LIMITED,INE574I01035,NSE,BE,ARCOTECH.NS
AREM,AMARA RAJA ENERGY MOB LTD,INE885A01032,NSE,BE,AREM.NS
ARENTERP,RAJDARSHAN INDUSTRIES LTD,INE610C01014,NSE,BE,ARENTERP.NS
ARFIN,ARFIN INDIA LIMITED,INE784R01023,NSE,BE,ARFIN.NS
ARHAM,ARHAM TECHNOLOGIES LTD,INE0L2Y01011,NSE,SM,ARHAM.NS
ARIES,ARIES AGRO LTD.,INE298I01015,NSE,BE,ARIES.NS
ARIHANT,ARIHANT FOUN & HOU LTD,INE413D01011,NSE,BE,ARIHANT.NS
ARIHANTACA,ARIHANT ACADEMY LIMITED,INE0NCC01015,NSE,SM,ARIHANTACA.NS
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,INE420B01036,NSE,BE,ARIHANTCAP.NS
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,INE643K01018,NSE,BE,ARIHANTSUP.NS
ARISINFRA,ARISINFRA SOLUTIONS LTD,INE0H9P01028,NSE,BE,ARISINFRA.NS
ARISTO,ARISTO BIO T AND LIFESC L,INE082101010,NSE,SM,ARISTO.NS
ARKADE,ARKADE DEVELOPERS LIMITED,INE0QRL01017,NSE,BE,ARKADE.NS
ARMANFIN,ARMAN FIN SERV LTD,INE109C01017,NSE,BE,ARMANFIN.NS
AROGRANITE,ARO GRANITE IND. LTD.,INE210C01013,NSE,BE,AROGRANITE.NS
ARROWGREEN,ARROW GREENTECH LIMITED,INE570D01018,NSE,BE,ARROWGREEN.NS
ARSHIYA,ARSHIYA LIMITED,INE968D01022,NSE,BE,ARSHIYA.NS
ARSSBL,ANAND RATHI SH N STK BR L,INE549H01021,NSE,BE,ARSSBL.NS
ARSSINFRA,ARSS INFRA PROJ. LTD,INE267I01010,NSE,BE,ARSSINFRA.NS
ARTEDZ,ARTEDZ FABS LIMITED,INE00CO01016,NSE,SM,ARTEDZ.NS
ARTEMISMED,ARTEMIS MED SERVICE LTD,INE025R01021,NSE,BE,ARTEMISMED.NS
ARTNIRMAN,ART NIRMAN LIMITED,INE738V01013,NSE,BE,ARTNIRMAN.NS
ARTSONENGG,ARTSON ENGINEERING LTD,INE533801010,NSE,EQ,ARTSONENGG.NS
ARUNASUGAR,ARUNA SUGARS AND ENTERP.,INE008101011,NSE,EQ,ARUNASUGAR.NS
ARUNAYA,ARUNAYA ORGANICS LIMITED,INE0TTG01017,NSE,SM,ARUNAYA.NS
ARVEE,ARVEE LABORATORIES I LTD,INE006Z01016,NSE,BE,ARVEE.NS
ARVIND,ARVIND LIMITED,INE034A01011,NSE,BE,ARVIND.NS
ARVINDFASN,ARVIND FASHIONS LIMITED,INE955V01021,NSE,BE,ARVINDFASN.NS
ARVINDPORT,ARVIND PORT AND INFRA LTD,INE0P4T01013,NSE,SM,ARVINDPORT.NS
ARVSMART,ARVIND SMARTSPACES LTD,INE034S01021,NSE,BE,ARVSMART.NS
ARYAFINFAB,ARYAN FINEFAB LTD,INE008901014,NSE,EQ,ARYAFINFAB.NS
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,INE439A01020,NSE,BE,ASAHIINDIA.NS
ASAHISONG,ASAHI SONGWON COLOR LTD,INE228I01012,NSE,BE,ASAHISONG.NS
ASAL,AUTOMOTIVE STAMPINGS & AS,INE900C01027,NSE,BE,ASAL.NS
ASALCBR,ASSO ALCOHOLS & BREW LTD,INE073G01016,NSE,BE,ASALCBR.NS
ASCOM,ASCOM LEASIN & INVEST LTD,INE08KD01015,NSE,SM,ASCOM.NS
ASHALOG,ASHAPURA LOGISTICS LTD,INE0LAA01017,NSE,SM,ASHALOG.NS
ASHAPURMIN,ASHAPURA MINECHEM LTD,INE348A01023,NSE,BE,ASHAPURMIN.NS
ASHIANA,ASHIANA HOUSING LTD,INE365D01021,NSE,BE,ASHIANA.NS
